experiment,description,precision,recall,f1,ap,mean_iou,tp,fp,fn,total_gt,elapsed_s,tile_size,tile_overlap,scales,confidence,enable_tta,enable_preprocess
E0_current_best,"Current best: Tiled(640,0.25) + MS[0.75,1.0,1.5] + conf=0.5",0.943758573388203,0.8431372549019608,0.8906148867313916,0.8392738516305835,0.7679449692368507,688,41,128,816,61.8,640,0.25,"[0.75, 1.0, 1.5]",0.5,False,False
E3_low_confidence,Lower confidence to 0.3 to catch marginal detections (occluded/blurred faces),0.943758573388203,0.8431372549019608,0.8906148867313916,0.8392738516305835,0.7679449692368507,688,41,128,816,40.3,640,0.25,"[0.75, 1.0, 1.5]",0.3,False,False
