threshold,tp,fp,fn,precision,recall,f1
0.1,116,1,121,0.9915,0.4895,0.6554
0.2,116,1,121,0.9915,0.4895,0.6554
0.3,116,1,121,0.9915,0.4895,0.6554
0.4,116,1,121,0.9915,0.4895,0.6554
0.5,116,1,121,0.9915,0.4895,0.6554
0.6,97,1,140,0.9898,0.4093,0.5791
0.7,65,0,172,1.0,0.2743,0.4305
0.8,17,0,220,1.0,0.0717,0.1339
0.9,0,0,237,0.0,0.0,0.0
