threshold,tp,fp,fn,precision,recall,f1
0.1,688,41,128,0.9438,0.8431,0.8906
0.2,688,41,128,0.9438,0.8431,0.8906
0.3,688,41,128,0.9438,0.8431,0.8906
0.4,688,38,128,0.9477,0.8431,0.8923
0.5,688,37,128,0.949,0.8431,0.8929
0.6,628,11,188,0.9828,0.7696,0.8632
0.7,512,2,304,0.9961,0.6275,0.7699
0.8,279,0,537,1.0,0.3419,0.5096
0.9,11,0,805,1.0,0.0135,0.0266
