bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2,6,6,0,0,1.0,1.0,1.0,0.8801
11-20,1,13,12,0,1,1.0,0.9231,0.96,0.7449
21-30,4,95,50,2,45,0.9615,0.5263,0.6803,0.781
31-40,1,33,5,0,28,1.0,0.1515,0.2632,0.7002
41-50,0,0,0,0,0,0.0,0.0,0.0,0.0
51+,2,183,99,0,84,1.0,0.541,0.7021,0.7427
