bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2,6,6,0,0,1.0,1.0,1.0,0.8786
11-20,1,13,12,0,1,1.0,0.9231,0.96,0.748
21-30,4,95,50,1,45,0.9804,0.5263,0.6849,0.7797
31-40,1,33,6,1,27,0.8571,0.1818,0.3,0.6927
41-50,0,0,0,0,0,0.0,0.0,0.0,0.0
51+,2,183,99,0,84,1.0,0.541,0.7021,0.7391
