bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,1,5,5,0,0,1.0,1.0,1.0,0.8742
11-20,0,0,0,0,0,0.0,0.0,0.0,0.0
21-30,2,49,12,1,37,0.9231,0.2449,0.3871,0.6949
31-40,0,0,0,0,0,0.0,0.0,0.0,0.0
41-50,0,0,0,0,0,0.0,0.0,0.0,0.0
51+,2,183,99,0,84,1.0,0.541,0.7021,0.7482
