confidence,precision,recall
0.9204981327056885,1.0,0.0030303030303030303
0.9199150800704956,1.0,0.006060606060606061
0.915977954864502,1.0,0.00909090909090909
0.9125491380691528,1.0,0.012121212121212121
0.9114392399787903,1.0,0.015151515151515152
0.9089275598526001,1.0,0.01818181818181818
0.9025681614875793,1.0,0.021212121212121213
0.9011387825012207,1.0,0.024242424242424242
0.89769047498703,1.0,0.02727272727272727
0.895205020904541,1.0,0.030303030303030304
0.8921016454696655,1.0,0.03333333333333333
0.8914940357208252,1.0,0.03636363636363636
0.8908838629722595,1.0,0.03939393939393939
0.8904643654823303,1.0,0.04242424242424243
0.890410304069519,1.0,0.045454545454545456
0.8891762495040894,1.0,0.048484848484848485
0.8889456987380981,1.0,0.051515151515151514
0.8885290622711182,1.0,0.05454545454545454
0.8876149654388428,1.0,0.05757575757575758
0.8857703804969788,1.0,0.06060606060606061
0.8814902305603027,1.0,0.06363636363636363
0.8803339004516602,1.0,0.06666666666666667
0.8794572353363037,1.0,0.0696969696969697
0.8793994784355164,1.0,0.07272727272727272
0.878716230392456,1.0,0.07575757575757576
0.8784290552139282,1.0,0.07878787878787878
0.8774160146713257,1.0,0.08181818181818182
0.8772562742233276,1.0,0.08484848484848485
0.8749966621398926,1.0,0.08787878787878788
0.8743202686309814,1.0,0.09090909090909091
0.8737565279006958,1.0,0.09393939393939393
0.8733230829238892,1.0,0.09696969696969697
0.8716301918029785,1.0,0.1
0.8712198138237,1.0,0.10303030303030303
0.8707720041275024,1.0,0.10606060606060606
0.8704398274421692,1.0,0.10909090909090909
0.8698548674583435,1.0,0.11212121212121212
0.8682600259780884,1.0,0.11515151515151516
0.8668577671051025,1.0,0.11818181818181818
0.8661239743232727,1.0,0.12121212121212122
0.8636159896850586,1.0,0.12424242424242424
0.8631937503814697,1.0,0.12727272727272726
0.8629857301712036,1.0,0.1303030303030303
0.8621605038642883,1.0,0.13333333333333333
0.8599727749824524,1.0,0.13636363636363635
0.8597414493560791,1.0,0.1393939393939394
