bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,0,0,0,0,0,0.0,0.0,0.0,0.0
11-20,0,0,0,0,0,0.0,0.0,0.0,0.0
21-30,1,23,12,2,11,0.8571,0.5217,0.6486,0.7239
31-40,0,0,0,0,0,0.0,0.0,0.0,0.0
41-50,0,0,0,0,0,0.0,0.0,0.0,0.0
51+,2,183,119,18,64,0.8686,0.6503,0.7437,0.78
