threshold,tp,fp,fn,precision,recall,f1
0.1,252,18,78,0.9333,0.7636,0.84
0.2,252,18,78,0.9333,0.7636,0.84
0.3,252,18,78,0.9333,0.7636,0.84
0.4,252,17,78,0.9368,0.7636,0.8414
0.5,252,17,78,0.9368,0.7636,0.8414
0.6,229,4,101,0.9828,0.6939,0.8135
0.7,195,1,135,0.9949,0.5909,0.7414
0.8,135,0,195,1.0,0.4091,0.5806
0.9,8,0,322,1.0,0.0242,0.0473
