threshold,tp,fp,fn,precision,recall,f1
0.1,131,20,75,0.8675,0.6359,0.7339
0.2,131,20,75,0.8675,0.6359,0.7339
0.3,131,20,75,0.8675,0.6359,0.7339
0.4,131,18,75,0.8792,0.6359,0.738
0.5,131,18,75,0.8792,0.6359,0.738
0.6,115,6,91,0.9504,0.5583,0.7034
0.7,97,1,109,0.9898,0.4709,0.6382
0.8,54,0,152,1.0,0.2621,0.4154
0.9,0,0,206,0.0,0.0,0.0
