size_bucket,total_gt,detected,missed,recall
0-10px,106,8,98,0.07547169811320754
10-16px,115,68,47,0.591304347826087
16-32px,70,60,10,0.8571428571428571
32-64px,17,15,2,0.8823529411764706
64-128px,21,21,0,1.0
128+px,1,1,0,1.0
