bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2,6,6,0,0,1.0,1.0,1.0,0.8588
11-20,1,13,12,0,1,1.0,0.9231,0.96,0.7934
21-30,4,95,69,7,26,0.9079,0.7263,0.807,0.7847
31-40,1,33,25,2,8,0.9259,0.7576,0.8333,0.7149
41-50,0,0,0,0,0,0.0,0.0,0.0,0.0
51+,2,183,140,9,43,0.9396,0.765,0.8434,0.7953
