size_bucket,total_gt,detected,missed,recall
0-10px,83,7,76,0.08433734939759036
10-16px,99,62,37,0.6262626262626263
16-32px,49,41,8,0.8367346938775511
32-64px,1,1,0,1.0
64-128px,5,5,0,1.0
128+px,0,0,0,0.0
