threshold,tp,fp,fn,precision,recall,f1
0.1,173,2,157,0.9886,0.5242,0.6851
0.2,173,2,157,0.9886,0.5242,0.6851
0.3,173,2,157,0.9886,0.5242,0.6851
0.4,173,2,157,0.9886,0.5242,0.6851
0.5,173,2,157,0.9886,0.5242,0.6851
0.6,149,1,181,0.9933,0.4515,0.6208
0.7,106,1,224,0.9907,0.3212,0.4851
0.8,52,0,278,1.0,0.1576,0.2723
0.9,6,0,324,1.0,0.0182,0.0357
