size_bucket,total_gt,detected,missed,recall
0-10px,75,19,56,0.25333333333333335
10-16px,92,73,19,0.7934782608695652
16-32px,39,39,0,1.0
32-64px,0,0,0,0.0
64-128px,0,0,0,0.0
128+px,0,0,0,0.0
