threshold,tp,fp,fn,precision,recall,f1
0.1,20092,11470,19031,0.6366,0.5136,0.5685
0.2,20092,11470,19031,0.6366,0.5136,0.5685
0.3,20092,11470,19031,0.6366,0.5136,0.5685
0.4,20031,9372,19092,0.6813,0.512,0.5846
0.5,19989,8833,19134,0.6935,0.5109,0.5884
0.6,19958,8570,19165,0.6996,0.5101,0.59
0.7,19184,5681,19939,0.7715,0.4904,0.5996
0.8,18303,3360,20820,0.8449,0.4678,0.6022
0.9,16951,1545,22172,0.9165,0.4333,0.5884
