confidence,precision,recall
0.9481785297393799,1.0,2.5560412033841985e-05
0.9304934740066528,1.0,0.0002811645323722618
0.9275952577590942,1.0,0.0005367686527106817
0.9249368906021118,1.0,0.0008179331850829435
0.9239381551742554,1.0,0.0010735373054213634
0.9226536154747009,1.0,0.0013547018377936253
0.9218934178352356,1.0,0.001610305958132045
0.9212802052497864,1.0,0.001891470490504307
0.9204769134521484,1.0,0.0021470746108427268
0.9198803901672363,1.0,0.0024026787311811466
0.9194954633712769,1.0,0.0026838432635534087
0.9188133478164673,1.0,0.0029394473838918285
0.9183197021484375,1.0,0.00322061191626409
0.9177931547164917,1.0,0.00347621603660251
0.9173144698143005,1.0,0.003757380568974772
0.9167131781578064,1.0,0.004012984689313191
0.9161432981491089,1.0,0.004268588809651612
0.9155654311180115,1.0,0.004549753342023874
0.91526198387146,1.0,0.004805357462362293
0.9149858951568604,1.0,0.005086521994734555
0.9146122336387634,1.0,0.005342126115072975
0.914099931716919,1.0,0.005623290647445237
0.9135854244232178,1.0,0.005878894767783657
0.9130995273590088,1.0,0.006160059300155918
0.9124940037727356,1.0,0.006415663420494338
0.9120616316795349,1.0,0.006671267540832759
0.9118115901947021,1.0,0.00695243207320502
0.9115248918533325,1.0,0.00720803619354344
0.9113978147506714,1.0,0.007489200725915701
0.9110157489776611,1.0,0.0077448048462541216
0.9105771780014038,1.0,0.008025969378626383
0.9101418256759644,1.0,0.008281573498964804
0.9098291397094727,1.0,0.008537177619303223
0.9096442461013794,1.0,0.008818342151675485
0.9094132781028748,1.0,0.009073946272013906
0.9092463850975037,1.0,0.009355110804386167
0.9089314937591553,1.0,0.009610714924724586
0.9086312055587769,1.0,0.00989187945709685
0.9084621071815491,1.0,0.010147483577435269
0.9082745313644409,1.0,0.01042864810980753
0.9080625772476196,1.0,0.01068425223014595
0.9078962802886963,1.0,0.01093985635048437
0.9076759815216064,1.0,0.011221020882856632
0.9074000120162964,1.0,0.01147662500319505
0.9072209596633911,1.0,0.011757789535567314
0.9069268703460693,1.0,0.012013393655905733
0.906707763671875,1.0,0.012294558188277994
0.9065352082252502,1.0,0.012550162308616416
0.9062284827232361,1.0,0.012805766428954835
0.9059414863586426,1.0,0.013086930961327096
0.9057214856147766,1.0,0.013342535081665517
0.9054145812988281,1.0,0.013623699614037778
0.9052383899688721,1.0,0.013879303734376198
0.9050953388214111,1.0,0.01416046826674846
0.9049453139305115,1.0,0.01441607238708688
0.9047701358795166,1.0,0.014697236919459141
0.9046066999435425,1.0,0.01495284103979756
0.9044018983840942,1.0,0.015208445160135982
0.9042057394981384,1.0,0.015489609692508243
0.9039642810821533,1.0,0.015745213812846662
0.9037265777587891,1.0,0.016026378345218924
0.9035063982009888,1.0,0.016281982465557343
0.9032360315322876,1.0,0.016563146997929608
0.9031726121902466,1.0,0.016818751118268027
0.9029898643493652,1.0,0.017074355238606446
0.9028167724609375,1.0,0.017355519770978708
0.9024716019630432,1.0,0.017611123891317127
0.9023593068122864,1.0,0.01789228842368939
0.9022114276885986,1.0,0.01814789254402781
0.9020208120346069,1.0,0.018429057076400072
0.9019103050231934,1.0,0.018684661196738492
0.9017074108123779,1.0,0.018965825729110753
0.9015563726425171,1.0,0.019221429849449172
0.9013230800628662,1.0,0.019477033969787592
0.9011849164962769,1.0,0.019758198502159856
0.9010525345802307,1.0,0.020013802622498276
0.9008570909500122,1.0,0.020294967154870537
0.9006884098052979,1.0,0.020550571275208956
0.9004566669464111,1.0,0.020831735807581218
0.9003503322601318,1.0,0.021087339927919637
0.9002219438552856,1.0,0.021342944048258056
0.9000481367111206,1.0,0.02162410858063032
0.899858295917511,1.0,0.02187971270096874
0.8997492790222168,1.0,0.022160877233341002
0.899565577507019,1.0,0.02241648135367942
0.8994266390800476,1.0,0.022697645886051682
0.899278461933136,1.0,0.0229532500063901
0.8991087675094604,1.0,0.023234414538762366
0.8990057706832886,1.0,0.023490018659100786
0.8988712430000305,1.0,0.023745622779439205
0.8987539410591125,1.0,0.024026787311811466
0.8985707759857178,1.0,0.024282391432149886
0.8983656167984009,1.0,0.024563555964522147
0.89827561378479,1.0,0.024819160084860566
0.8980973958969116,1.0,0.02510032461723283
0.897968053817749,1.0,0.02535592873757125
0.8977938890457153,1.0,0.02561153285790967
0.8976439833641052,1.0,0.02589269739028193
0.8975030779838562,1.0,0.02614830151062035
0.8972976207733154,1.0,0.02642946604299261
0.8971575498580933,1.0,0.026685070163331034
0.8970693349838257,1.0,0.026966234695703296
0.8968589305877686,1.0,0.027221838816041715
0.8967107534408569,1.0,0.027503003348413976
0.896549642086029,1.0,0.027758607468752396
0.8963870406150818,1.0,0.028014211589090815
0.8960912823677063,1.0,0.028295376121463076
0.895958423614502,1.0,0.0285509802418015
0.8958348035812378,1.0,0.02883214477417376
0.8956220149993896,1.0,0.02908774889451218
0.8954495191574097,1.0,0.02936891342688444
0.895241379737854,1.0,0.02962451754722286
0.8950446248054504,1.0,0.02988012166756128
0.8949744701385498,1.0,0.030161286199933544
0.894818902015686,1.0,0.030416890320271964
0.8946733474731445,1.0,0.030698054852644225
0.8945510387420654,1.0,0.030953658972982644
0.8943918943405151,1.0,0.031234823505354906
0.894312858581543,1.0,0.031490427625693325
0.894161581993103,1.0,0.03177159215806559
0.8939632177352905,1.0,0.03202719627840401
0.893787682056427,1.0,0.03228280039874243
0.8935920000076294,1.0,0.032563964931114686
0.8934203386306763,1.0,0.03281956905145311
0.8932982683181763,1.0,0.03310073358382537
0.8931916952133179,1.0,0.03335633770416379
0.8930404186248779,1.0,0.033637502236536054
0.8928312063217163,1.0,0.033893106356874474
0.8926093578338623,1.0,0.03414871047721289
0.892461895942688,1.0,0.03442987500958516
0.8922008275985718,1.0,0.03468547912992358
0.8920279741287231,1.0,0.034966643662295835
0.8918977975845337,1.0,0.035222247782634254
0.891769289970398,1.0,0.03550341231500652
0.8916541337966919,1.0,0.03575901643534494
0.8913840055465698,1.0,0.0360401809677172
0.8912626504898071,1.0,0.03629578508805562
0.8911615014076233,1.0,0.03655138920839404
0.8909533023834229,1.0,0.0368325537407663
0.8908367156982422,1.0,0.03708815786110472
0.890662670135498,1.0,0.037369322393476984
0.8905208110809326,1.0,0.0376249265138154
0.8903787136077881,1.0,0.03790609104618767
0.8902636766433716,1.0,0.03816169516652609
0.8901298642158508,1.0,0.038417299286864506
0.8899844884872437,1.0,0.038698463819236764
0.8898782730102539,1.0,0.038954067939575183
0.8896986246109009,1.0,0.03923523247194745
0.8894830346107483,1.0,0.03949083659228587
