confidence,precision,recall
0.9484162926673889,1.0,2.5560412033841985e-05
0.9309412240982056,1.0,0.0002811645323722618
0.9279719591140747,1.0,0.0005623290647445236
0.9257398247718811,1.0,0.0008179331850829435
0.924426794052124,1.0,0.0010990977174552053
0.9230046272277832,1.0,0.0013802622498274672
0.9219744205474854,1.0,0.001635866370165887
0.9217069149017334,1.0,0.001917030902538149
0.9209235310554504,1.0,0.0021726350228765687
0.9199590086936951,1.0,0.0024537995552488304
0.9195977449417114,1.0,0.0027349640876210926
0.9189887046813965,1.0,0.0029905682079595123
0.918328046798706,1.0,0.003271732740331774
0.9177931547164917,1.0,0.003527336860670194
0.9173545837402344,1.0,0.003808501393042456
0.9167649745941162,1.0,0.004089665925414718
0.9162285327911377,1.0,0.004345270045753137
0.9157745838165283,1.0,0.0046264345781253996
0.9153591394424438,1.0,0.004882038698463819
0.9152190685272217,1.0,0.005163203230836081
0.9149008393287659,1.0,0.005444367763208343
0.914243221282959,1.0,0.0056999718835467625
0.9137698411941528,1.0,0.005981136415919025
0.9131691455841064,1.0,0.006236740536257445
0.9125658273696899,1.0,0.006517905068629706
0.9120936393737793,1.0,0.006799069601001968
0.9118998050689697,1.0,0.007054673721340388
0.911646842956543,1.0,0.00733583825371265
0.9114537835121155,1.0,0.00759144237405107
0.9112347364425659,1.0,0.007872606906423331
0.9110044240951538,1.0,0.008153771438795594
0.9107667207717896,1.0,0.008409375559134014
0.9101433753967285,1.0,0.008690540091506275
0.9098730087280273,1.0,0.008946144211844694
0.9096490740776062,1.0,0.009227308744216957
0.9094781875610352,1.0,0.009508473276589218
0.9092683792114258,1.0,0.009764077396927638
0.909021258354187,1.0,0.0100452419292999
0.9087471961975098,1.0,0.01030084604963832
0.9085819125175476,1.0,0.010582010582010581
0.9084615111351013,1.0,0.010863175114382844
0.9083040952682495,1.0,0.011118779234721264
0.9079394936561584,1.0,0.011399943767093525
0.9077200889587402,1.0,0.011655547887431946
0.9073728919029236,1.0,0.011936712419804207
0.9071575999259949,1.0,0.012217876952176469
0.9068820476531982,1.0,0.01247348107251489
0.9066769480705261,1.0,0.012754645604887151
0.9064619541168213,1.0,0.01301024972522557
0.9062319993972778,1.0,0.013291414257597832
0.9060494303703308,1.0,0.013572578789970095
0.9057214856147766,1.0,0.013828182910308514
0.905484676361084,1.0,0.014109347442680775
0.9053062200546265,1.0,0.014390511975053038
0.9051764011383057,1.0,0.014646116095391458
0.9049402475357056,1.0,0.014927280627763719
