pair_type,count,mean_distance,median_distance,std_distance
detected-detected,201617,368.8545195593626,340.42,213.68077423254525
detected-undetected,265354,378.1034189799287,349.355,220.04372360859495
undetected-undetected,191085,340.13739696993485,299.18,219.52027593896148
