bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2504,7222,5518,5210,1704,0.5144,0.7641,0.6148,0.7964
11-20,351,5150,3096,1771,2054,0.6361,0.6012,0.6181,0.776
21-30,139,3485,2072,847,1413,0.7098,0.5945,0.6471,0.7819
31-40,70,2479,1445,673,1034,0.6822,0.5829,0.6287,0.7734
41-50,26,1189,544,268,645,0.67,0.4575,0.5437,0.7527
51+,136,19598,7417,2701,12181,0.7331,0.3785,0.4992,0.7425
