threshold,tp,fp,fn,precision,recall,f1
0.1,19977,888,19146,0.9574,0.5106,0.666
0.2,19977,888,19146,0.9574,0.5106,0.666
0.3,19977,888,19146,0.9574,0.5106,0.666
0.4,19977,888,19146,0.9574,0.5106,0.666
0.5,19977,888,19146,0.9574,0.5106,0.666
0.6,17300,309,21823,0.9825,0.4422,0.6099
0.7,13931,83,25192,0.9941,0.3561,0.5243
0.8,8829,13,30294,0.9985,0.2257,0.3681
0.9,849,0,38274,1.0,0.0217,0.0425
