threshold,tp,fp,fn,precision,recall,f1
0.1,20732,17169,18391,0.547,0.5299,0.5383
0.2,20732,17169,18391,0.547,0.5299,0.5383
0.3,20732,17169,18391,0.547,0.5299,0.5383
0.4,20644,14172,18479,0.5929,0.5277,0.5584
0.5,20573,13084,18550,0.6113,0.5259,0.5653
0.6,20502,12426,18621,0.6226,0.524,0.5691
0.7,19735,8234,19388,0.7056,0.5044,0.5883
0.8,18825,4928,20298,0.7925,0.4812,0.5988
0.9,17472,2308,21651,0.8833,0.4466,0.5932
