bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2504,7222,6460,577,762,0.918,0.8945,0.9061,0.8294
11-20,351,5150,3977,290,1173,0.932,0.7722,0.8446,0.7981
21-30,139,3485,2653,169,832,0.9401,0.7613,0.8413,0.8018
31-40,70,2479,1884,149,595,0.9267,0.76,0.8351,0.7881
41-50,26,1189,767,75,422,0.9109,0.6451,0.7553,0.7781
51+,136,19598,12060,1114,7538,0.9154,0.6154,0.736,0.7547
