category,count,mean_face_area,mean_face_brightness,mean_image_brightness,mean_image_blur,mean_confidence
detected,20732,6595.862917229404,129.45927200459298,122.72796026567225,752.8864884591476,0.9522797604014739
false_positive,17169,11630.756535901639,119.78940665920369,123.22874096729915,627.7196171570636,0.668728241203438
undetected,18391,843.0743842096678,111.98423556866682,118.16485124160407,896.193739723836,
