pair_type,count,mean_distance,median_distance,std_distance
detected-detected,140464,378.3904889509056,350.37,217.20730775964608
detected-undetected,241529,390.5872137093268,365.95,219.84487783177926
undetected-undetected,276063,334.0011882432633,293.69,214.31472009906463
