pair_type,count,mean_distance,median_distance,std_distance
detected-detected,169669,371.27883255043645,340.12,217.3397101449253
detected-undetected,243842,387.54523818702273,364.0,218.16733722606168
undetected-undetected,244545,336.1321499110593,295.17,216.60710674680342
