category,count,mean_face_area,mean_face_brightness,mean_image_brightness,mean_image_blur,mean_confidence
detected,20250,6980.814666666667,128.7549353148117,123.0185750818505,675.1452069319312,0.7545312093496322
false_positive,948,1811.9115383936887,113.67611616499806,120.0712315154482,739.9346343208863,0.5842709246755652
undetected,18873,576.9572405023049,113.18625885750204,117.96957060376121,975.9471894041492,
