bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2504,7222,6089,225,1133,0.9644,0.8431,0.8997,0.8284
11-20,351,5150,3310,115,1840,0.9664,0.6427,0.772,0.7992
21-30,139,3485,2096,65,1389,0.9699,0.6014,0.7425,0.8004
31-40,70,2479,1464,49,1015,0.9676,0.5906,0.7335,0.7842
41-50,26,1189,527,28,662,0.9495,0.4432,0.6044,0.7847
51+,136,19598,6491,406,13107,0.9411,0.3312,0.49,0.7533
