threshold,tp,fp,fn,precision,recall,f1
0.1,20250,948,18873,0.9553,0.5176,0.6714
0.2,20250,948,18873,0.9553,0.5176,0.6714
0.3,20250,948,18873,0.9553,0.5176,0.6714
0.4,20249,940,18874,0.9556,0.5176,0.6715
0.5,20236,929,18887,0.9561,0.5172,0.6713
0.6,17510,320,21613,0.9821,0.4476,0.6149
0.7,14071,82,25052,0.9942,0.3597,0.5282
0.8,8909,12,30214,0.9987,0.2277,0.3709
0.9,876,0,38247,1.0,0.0224,0.0438
