pair_type,count,mean_distance,median_distance,std_distance
detected-detected,420878,362.0589139845751,332.02,214.15733850058373
detected-undetected,187123,374.5565626887128,341.41,224.95047359034913
undetected-undetected,50055,344.0809415642793,298.08,228.54104343508402
