pair_type,count,mean_distance,median_distance,std_distance
detected-detected,164040,371.94425164594,340.655,217.659419330759
detected-undetected,243042,388.23726631611,364.82,218.2253103720117
undetected-undetected,250974,335.979241236144,295.165,216.21379360983732
