bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2504,7222,5277,2090,1945,0.7163,0.7307,0.7234,0.7999
11-20,351,5150,2884,681,2266,0.809,0.56,0.6618,0.7789
21-30,139,3485,1914,299,1571,0.8649,0.5492,0.6718,0.7848
31-40,70,2479,1317,214,1162,0.8602,0.5313,0.6569,0.7754
41-50,26,1189,471,96,718,0.8307,0.3961,0.5364,0.7562
51+,136,19598,5896,733,13702,0.8894,0.3008,0.4496,0.741
