threshold,tp,fp,fn,precision,recall,f1
0.1,17759,4113,21364,0.812,0.4539,0.5823
0.2,17759,4113,21364,0.812,0.4539,0.5823
0.3,17759,4113,21364,0.812,0.4539,0.5823
0.4,17759,4113,21364,0.812,0.4539,0.5823
0.5,17759,4113,21364,0.812,0.4539,0.5823
0.6,17759,4113,21364,0.812,0.4539,0.5823
0.7,17077,2743,22046,0.8616,0.4365,0.5794
0.8,16303,1645,22820,0.9083,0.4167,0.5713
0.9,15130,831,23993,0.9479,0.3867,0.5493
