bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2504,7222,6116,246,1106,0.9613,0.8469,0.9005,0.828
11-20,351,5150,3351,128,1799,0.9632,0.6507,0.7767,0.7983
21-30,139,3485,2113,75,1372,0.9657,0.6063,0.7449,0.7994
31-40,70,2479,1487,53,992,0.9656,0.5998,0.74,0.7823
41-50,26,1189,536,28,653,0.9504,0.4508,0.6115,0.7836
51+,136,19598,6647,418,12951,0.9408,0.3392,0.4986,0.7501
