bin,num_images,total_gt,tp,fp,fn,precision,recall,f1,mean_iou
0-10,2504,7222,5596,8482,1626,0.3975,0.7749,0.5254,0.7818
11-20,351,5150,3192,2599,1958,0.5512,0.6198,0.5835,0.7696
21-30,139,3485,2132,1227,1353,0.6347,0.6118,0.623,0.7758
31-40,70,2479,1481,963,998,0.606,0.5974,0.6017,0.7684
41-50,26,1189,568,357,621,0.6141,0.4777,0.5374,0.7521
51+,136,19598,7763,3541,11835,0.6867,0.3961,0.5024,0.7401
