pair_type,count,mean_distance,median_distance,std_distance
detected-detected,217397,366.3173805526295,337.51,213.09700855882235
detected-undetected,265771,377.73205406157933,348.83,220.4415268468598
undetected-undetected,174888,341.17392554091765,299.59,220.44755115757866
