category,count,mean_face_area,mean_face_brightness,mean_image_brightness,mean_image_blur,mean_confidence
detected,19977,7066.471592331181,128.9154932342695,123.03670413146695,670.8756235431842,0.7550813613511029
false_positive,888,1856.3984435828957,113.41503725300551,120.13971689367116,754.3168846744526,0.587775764567358
undetected,19146,578.8941815522825,113.24072366037664,118.02264770594081,976.1129956374136,
